,utterance,intent
91,How much is in my Chackking account?,get_balance_start
92,I am planning a trip and would like to know account balance,get_balance_start
93,tell me how much cash i got left,get_balance_start
94,what balance is left on my savings?,get_balance_start
95,I would like some information on my accounts balance.,get_balance_start
96,Tell me what’s in my balance.,get_balance_start
97,Could I be told my accounts balance.,get_balance_start
98,i want to see my balance,get_balance_start
99,Please check my savings account..,get_balance_start
100,What is my savings balance?,get_balance_start
101,show the account balance,get_balance_start
102,Do I have enough in my rent account to cover rent this month?,get_balance_start
103,What in the amount in both of my accounts,get_balance_start
104,I want to see how much the account balance is,get_balance_start
105,"hello, as far as wanting know my current balances on my accounts is concerned, is there more information",get_balance_start
106,wanting know my current balances on my accounts involves what,get_balance_start
107,How much do I currently have in my account?,get_balance_start
108,How much do i have left on my account?,get_balance_start
109,What is my current account balance?,get_balance_start
110,tell me what the balance is,get_balance_start
111,How can I check my bank balance online?,get_balance_start
112,please give me my balance info,get_balance_start
113,Please inform me what my current account balance is.,get_balance_start
114,"Tell me my balance, please.",get_balance_start
115,What is my account balance,get_balance_start
116,"hi there, need your help on looking for my balances",get_balance_start
117,Need my balance,get_balance_start
118,have issue currently wanting know my current balances on my accounts please,get_balance_start
119,"I haven't checked on my savings account in a while, how much do I have?",get_balance_start
120,"writing because looking for my balances is concerned, is there more information",get_balance_start
121,Whats my balance for my Wells Fargo Platinum Savings account,get_balance_start
122,tell me balance please,get_balance_start
123,Am I able to go out? What is my balance for my checking account?,get_balance_start
124,How much money do i have on my saving account?,get_balance_start
125, i would like to know how many dollars are in my account,get_balance_start
126,I do need my balances,get_balance_start
127,How much is in Caroline's checking?,get_balance_start
128,What’s my balance?,get_balance_start
129,How do I check my Visa card balance?,get_balance_start
130,"I should buy groceries soon, how does my grocery funds account look?",get_balance_start
131,What's the balance of my emergency fund account?,get_balance_start
132,What's the balance on my bank account?,get_balance_start
133,how to much dough in checkings?,get_balance_start
134,What is my balance on my authorized users MasterCard account?,get_balance_start
135,Give me the total?,get_balance_start
136,"Balances, please.",get_balance_start
137,"List all account balances, please.",get_balance_start
138,What's my joint checking balance?,get_balance_start
139,What's my balances?,get_balance_start
140,what is my gas account look like?,get_balance_start
141,Can you give me my checking balance?,get_balance_start
142,I needed the total amount in my account.,get_balance_start
143,How do I check my green dot balance?,get_balance_start
144,Is there any balance left in my car payment account?,get_balance_start
145,"hi there, let me know more about wanting know my current balances on my accounts too",get_balance_start
146,how much i have?,get_balance_start
147,thinking of wanting know my current balances on my accounts is what I am currently looking for,get_balance_start
148,I would like to see my balance,get_balance_start
149,Can you tell me the total in my account?,get_balance_start
150,What is my balance on my checking ?,get_balance_start
151,tell me account balances please,get_balance_start
152,Show me the balance on my Citibank account,get_balance_start
153,What is my total amount of cash,get_balance_start
154,What's the total amount in my account?,get_balance_start
155,What's my total balance,get_balance_start
156,I need my account balances?,get_balance_start
157,Give me an idea of my balance,get_balance_start
158,tell me my account balances please,get_balance_start
159,How much is in my account?,get_balance_start
160,I wanna get my balances,get_balance_start
161,I need a balance on my account?,get_balance_start
162,savings balance pls,get_balance_start
163,show me my account balance,get_balance_start
164,tell me my balance please,get_balance_start
165,Give me my savings balance.,get_balance_start
166,How is the vacation savings doing?,get_balance_start
167,i want to know how much money is in my account,get_balance_start
168,What’s my card balance,get_balance_start
169,I need my balances.,get_balance_start
170,What’s my checking account balance?,get_balance_start
171,Provide my balance to account X.,get_balance_start
172,What is my latest balance?,get_balance_start
173,Show me how much money I have,get_balance_start
174,What is my the amount of money in my account,get_balance_start
175,How do I check the balance on my prepaid Mastercard?,get_balance_start
176,Find my balance,get_balance_start
177,I do want my balances,get_balance_start
178,what is the balance in my account?,get_balance_start
179,What is available in my account?,get_balance_start
180,I'd like to know what my balance is,get_balance_start
181,Whats the total of my ledger.,get_balance_start
182,Can you avail the remaining account balance before I set out?,get_balance_start
183,What are my balances?,get_balance_start
184,what balance is in my acount ?,get_balance_start
185,tell me the balance,get_balance_start
186,what is my balance left if u can tell me,get_balance_start
187,right now wanting know my current balances on my accounts is happening,get_balance_start
188,What’s in my Chase savings account?,get_balance_start
189,Can you check my cash flow?,get_balance_start
190,What is the amount of money in my checking,get_balance_start
191,The balance for my account please.,get_balance_start
192,i want to know my account balance,get_balance_start
193,I was hoping to get my account balance,get_balance_start
194,all balances please,get_balance_start
195,Can you please tell me the balance of my account?,get_balance_start
196,I want to see how much my balance is,get_balance_start
197,How much is in accounts?,get_balance_start
198,Give my the balance for my US Bank Gold Checking,get_balance_start
199,What is my total balance?,get_balance_start
200,let me get my balances,get_balance_start
201,How much money do I have in my Chase checking account?,get_balance_start
202,can you give me my balances,get_balance_start
203,"wanting know my current balances on my accounts, want to learn more also",get_balance_start
204,do I have the balance,get_balance_start
205,What about the remaining in my savings account?,get_balance_start
206,Show me my balances,get_balance_start
207,What is the total balance of my account?,get_balance_start
208,Tell me what’s in my Bank of America account?,get_balance_start
209,I was on now wanting know my current balances on my accounts thank you,get_balance_start
210,What's the balance in my primary checking?,get_balance_start
211,How much do I have,get_balance_start
212,What is my balance in my savings account?,get_balance_start
213,What is my remaining balance,get_balance_start
214,Tell me what’s in my Bank of America account,get_balance_start
215,I would like to know the balance of my account.,get_balance_start
216,how much is in my account,get_balance_start
217,What's my checking account balance?,get_balance_start
218,need help with wanting know my current balances on my accounts.,get_balance_start
219,"hi there, can you help with wanting my balance for account 9994444555",get_balance_start
220,How much do I have in account X?,get_balance_start
221,browsing for an answer looking for my balances,get_balance_start
222,can I receive my balances?,get_balance_start
223,I need to know my balance now,get_balance_start
224,Show balance information,get_balance_start
225,"How much do I have in my Wells Fargo ""At Work"" checking account?",get_balance_start
226,What is the balance in my account ending in *******7890?,get_balance_start
227,What is my checking balance?,get_balance_start
228,"hi there, interested in and wanting know my current balances on my accounts please",get_balance_start
229,"need help, help with looking for my balances for this",get_balance_start
230,need to know about my balance,get_balance_start
231,what is my balance worth,get_balance_start
232,What is my credit card balance?,get_balance_start
233,Check the balance of my Chase House fund.,get_balance_start
234,how much do i have in my CD saving account?,get_balance_start
235,what's in my account,get_balance_start
236,What amount am I at in my account?,get_balance_start
237,Where does it show my balance,get_balance_start
238,"hi there, help with looking for my balances also",get_balance_start
239,What is the amount is David's checking,get_balance_start
240,I want to have my balances,get_balance_start
241,"have question, would like to know more on how to do the looking for my balances for this",get_balance_start
242,What is my balance in my checking account?,get_balance_start
243,I'd like a check of balances.,get_balance_start
244,What is my total balance on my checking account?,get_balance_start
245,How much do I have in my bank account?,get_balance_start
246,Can you get my account balance for me?,get_balance_start
247,whats in my account right now,get_balance_start
248,wanting know my current balances on my accounts concerns what else?,get_balance_start
249,show balance?,get_balance_start
250,Check the balance on the account number 1234567890,get_balance_start
251,give me info on how much money i have,get_balance_start
252,thinking of how is the wanting know my current balances on my accounts done now,get_balance_start
253,Show me all my balances,get_balance_start
254,Could you tell me my balance.,get_balance_start
255,I want my balances,get_balance_start
256,read me my balance,get_balance_start
257,how much dough in checkings account ?,get_balance_start
258,Tell me the total in my account.,get_balance_start
259,show me the account's balance,get_balance_start
260,How much money do I have?,get_balance_start
261,checking balance please.,get_balance_start
262,Please tell me my balance,get_balance_start
263,need account balance info now,get_balance_start
264,How much do I have to spend?,get_balance_start
265,How much do I have in the bank,get_balance_start
266,Report my account balance.,get_balance_start
267,What's the balance of my accounts?,get_balance_start
268,I was hoping to get my balance.,get_balance_start
269,What are my account balances,get_balance_start
270,what is the amount available in my account,get_balance_start
271,yeah I need to know my balances now,get_balance_start
272,I need to get my balances,get_balance_start
273,I'd like my balances,get_balance_start
274,how about explain how the wanting know my current balances on my accounts is done please,get_balance_start
275,Tell me the total in my savings account?,get_balance_start
276,What's the amount in my account?,get_balance_start
277,I wanna have my balances,get_balance_start
278,what's my account balance,get_balance_start
279,I feel I need my balances,get_balance_start
280,"need help, interested in and wanting my balance for account 9994444555",get_balance_start
281,give me the balance amount,get_balance_start
282,How's my balance,get_balance_start
283,help me get my balances,get_balance_start
284,Give me the balance of account 123456789,get_balance_start
285,I’m going shopping so I want to know my account balance.,get_balance_start
286,Give me the balance of Matt’s checking account,get_balance_start
287,What is the available balance in my Bank of America Advantage Plus checking account?,get_balance_start
288,How much money do I have right now?,get_balance_start
289,How much is there in my account?,get_balance_start
290,What is the account balance?,get_balance_start
291,Can I have my balance?,get_balance_start
292,"Before I make this purchase, could you tell me how much cash is left in my account?",get_balance_start
293,I must have my balances,get_balance_start
294,Get balance info,get_balance_start
295,I've got to know how much money I have.,get_balance_start
296,What's in my checking account?,get_balance_start
297,could you just tell me what my current balance is,get_balance_start
298,What is the balance in account Y in Sweden?,get_balance_start
299,Where can I find my account balance,get_balance_start
300,would like to know more on how to do the wanting know my current balances on my accounts please,get_balance_start
301,Do I have more money in checking or savings?,get_balance_start
302,How much savings have I accued?,get_balance_start
303,How much money have I got?,get_balance_start
304,Give me the balance in my savings please.,get_balance_start
305,how much do i have savings,get_balance_start
306,how much balance does i have,get_balance_start
307,"Hey, let me know my balances",get_balance_start
308,Please tell me the last month transaction,get_balance_start
309,What is the total balance including pending charges on my Visa?,get_balance_start
310,Can you give me my account balances?,get_balance_start
311,About how much do I have in my Bank of America Advantage Plus checking account?,get_balance_start
312,How much of money have in my savings account?,get_balance_start
313,What is the amount of money in my savings,get_balance_start
314,"hi there, as far as looking for my balances is concerned, is there more information now",get_balance_start
315,Can you tell me the available balance please?,get_balance_start
316,what's my balance,get_balance_start
317,"I am worried about a bill I have to pay, so I need to know what my balance is.",get_balance_start
318,display balance,get_balance_start
319,I gotta get my balances,get_balance_start
320,Can you give me my balance?,get_balance_start
321,how much do i got in my checking account,get_balance_start
322,How much money is left in my checking account.,get_balance_start
323,how much money is my balance,get_balance_start
324,What's the balance in my account.?,get_balance_start
325,How much do I have saved?,get_balance_start
326,How much money do I have in my savings account?,get_balance_start
327,I feel I want my balances,get_balance_start
328,"hello, more info on wanting know my current balances on my accounts etc for this",get_balance_start
329,Take me to my account balance,get_balance_start
330,How much is in my account now,get_balance_start
331,How much money is in my account 5463597?,get_balance_start
332,show balance for the credit card account,get_balance_start
333,can I have my balances?,get_balance_start
334,I need to know how much there is in my account.,get_balance_start
335,Whats the current balance for my account.,get_balance_start
336,account balance,get_balance_start
337,What ths Balance in my account?,get_balance_start
338,"need help, the concept of looking for my balances is something I want more info on please",get_balance_start
339,ok balance please,get_balance_start
340,"hello, wanting my balance for account 9994444555, want to learn more also",get_balance_start
341,My accounts balance.,get_balance_start
342,how much do I left in my accounts thank u,get_balance_start
343,"I really must buy groceries soon, how does my grocery funds account look?",get_balance_start
344,How much is in the bank,get_balance_start
345,tell me my balance now,get_balance_start
346,Can you let me know what the current balance I have is?,get_balance_start
347,I must get my balances,get_balance_start
348,what do I have,get_balance_start
349,What is my balance for account 5463597?,get_balance_start
350,"What can I spend tonight? Balances, please.",get_balance_start
351,i just need to know whats in my credit card,get_balance_start
352,How much is there in my bank account?,get_balance_start
353,What's my balance?,get_balance_start
354,How much do I have total in my account.,get_balance_start
355,I want to know the total balance for my account.,get_balance_start
356,i want to look up my balance,get_balance_start
357,How much money is there in my bank account?,get_balance_start
358,What's my balance in Jan account?,get_balance_start
359,What does my Chase account look like right now?,get_balance_start
360,I am in need of my balances,get_balance_start
361,What did I put into checking last month?,get_balance_start
362,Can I have my balance for my accounts?,get_balance_start
363,What is the amount of money in my peronsal checking account,get_balance_start
364,show me my balance,get_balance_start
365,Tell me my balance in account X.,get_balance_start
366,I wanna see my balance,get_balance_start
367,I was on now looking for my balances if possible,get_balance_start
368,please tell me my balance as of now,get_balance_start
369,savings balance pls?,get_balance_start
370,Current balance of my Bank of America Plus checking account?,get_balance_start
371,How much moolah do I have in my savings account?,get_balance_start
372,How much is in my savings account?,get_balance_start
373,What is the balance of my Compass Checking account?,get_balance_start
374,How much did I put into our joint savings account?,get_balance_start
375,Please get account balances.,get_balance_start
376,Please tell me the amount in Chris's Christmas account?,get_balance_start
377,How much money do I have in my account?,get_balance_start
378,post my balance,get_balance_start
379,What is my balance as of today?,get_balance_start
380,I desire my balances,get_balance_start
381,"hello, right now wanting my balance for account 9994444555 is happening",get_balance_start
382,have issue looking for my balances is what is going on,get_balance_start
383,What are current account balances?,get_balance_start
384,can you inform me more on looking for my balances,get_balance_start
385,What is the posted amount in the bank?,get_balance_start
386,Do I have more than $1000.00 in my account?,get_balance_start
387,"thinking of looking for my balances, want to learn more.",get_balance_start
388,How much do I have in my accounts?,get_balance_start
389,I need to know my balance please.,get_balance_start
390,How much do I have in my savings account?,get_balance_start
391,I would like my balances,get_balance_start
392,I really want my balances,get_balance_start
393,questioning and wanting know my current balances on my accounts currently.,get_balance_start
394,"need help, looking for my balances is what is going on",get_balance_start
395,How much joint funds do me and my wife have?,get_balance_start
396,how much dough in checkings?,get_balance_start
397,How much funds are in my Wells Fargo Account?,get_balance_start
398,what's left in the account,get_balance_start
399,What is my current balance at Chase?,get_balance_start
400,how much is in my balance,get_balance_start
401,What is my current balance on my credit card?,get_balance_start
402,What is total amount in my account,get_balance_start
403,What’s my account balance,get_balance_start
404,give me my account balance info,get_balance_start
405,How much is my balance,get_balance_start
406,"if you can, I was on now looking for my balances",get_balance_start
407,How much is in Tim’s Chase account?,get_balance_start
408,please tell me the saving account details,get_balance_start
409,can I get my balances?,get_balance_start
410,give me the account's balance,get_balance_start
411,Give me my balance,get_balance_start
412,Show me my money balance,get_balance_start
413,Give me the balance of Matt’s checking account balance,get_balance_start
414,get info on balances,get_balance_start
415,I'd like to see my balance,get_balance_start
416,umm tell me what's in my savings account,get_balance_start
417,What is my balance,get_balance_start
418,more information on looking for my balances,get_balance_start
419,What's in my accounts,get_balance_start
420,How much money is in my account?,get_balance_start
421,Get me my balances,get_balance_start
422,what is my balance left,get_balance_start
423,What have I paid into the retirement account?,get_balance_start
424,I want to go out tonight can i have my balance,get_balance_start
425,Shoe me my balance?,get_balance_start
426,please tell me what my balance is.,get_balance_start
427,Check my bank balances,get_balance_start
428,checking balance,get_balance_start
429,How do I find out what my balance is?,get_balance_start
430,What is my account balance?,get_balance_start
431,hello. interested in and wanting know my current balances on my accounts ok,get_balance_start
432,I need my balances,get_balance_start
433,I need my balance,get_balance_start
434,can I have the balance,get_balance_start
435,"need help, wanting know my current balances on my accounts is about what please",get_balance_start
436,What about my school balance?,get_balance_update
437,Can you show all balances?,get_balance_update
438,show me my checking account balance as of today,get_balance_update
439,Would you let me know how much I have in checking?,get_balance_update
440,show me my checking account balance?,get_balance_update
441,Please show me my balance on my checking account?,get_balance_update
442,what about my checking,get_balance_update
443,What about the principal on my mortgage,get_balance_update
444,um could you also tell me about the mutual fund?,get_balance_update
445,What's the balance in my checking?,get_balance_update
446,List all balances,get_balance_update
447,What about my personal savings?,get_balance_update
448,just give me all?,get_balance_update
449,show me my saving account balance,get_balance_update
450,actually can i see whats in my college fund?,get_balance_update
451,Can you also let me know the balance of my checking account?,get_balance_update
452,Is there a balance on my credit card?,get_balance_update
453,how about debit card,get_balance_update
454,just tell me whats going the in that accounts,get_balance_update
455,ust tell me whats in all accounts,get_balance_update
456,how about credit card,get_balance_update
457,Show me the balance for the other account.,get_balance_update
458,tell me about my kids college,get_balance_update
459,aw man um do i have anything in checkings?,get_balance_update
460,How is my retirement account doing?,get_balance_update
461,How about my mortgage,get_balance_update
462,what about my CD account balance thx,get_balance_update
463,Can I look at my retirement account?,get_balance_update
464,"Great, also, what's the balance in my CD?",get_balance_update
465,just tell me whats in all accounts?,get_balance_update
466,What is my current balance?,get_balance_update
467,I'd like to see my other account next.,get_balance_update
468,what about my Savings,get_balance_update
469,how to check my balance ?,get_balance_update
470,Can you now tell me my checking balance?,get_balance_update
471,What about my other account,get_balance_update
472,could you also tell me about checkings the balance,get_balance_update
473,info on mortgage,get_balance_update
474,now show me all of my balances,get_balance_update
475,How about my IRA,get_balance_update
476,Need total that is in my retirement account,get_balance_update
477,give me the balance in the checking account,get_balance_update
478,Checking account balance,get_balance_update
479,"Actually, I meant my checking account",get_balance_update
480,Can you give me my checking account balance?,get_balance_update
481,mortgage info,get_balance_update
482,What about my mortgage balance?,get_balance_update
483,what is the detail about my retirement,get_balance_update
484,"Ok, may I now know the balance of my checking?",get_balance_update
485,What about my rainy day balance?,get_balance_update
486,also the emergency balance,get_balance_update
487,Please tell me my 520 balance.,get_balance_update
488,what about checkings,get_balance_update
489,Can you tell me what I have in my other account?,get_balance_update
490,Give me the checking balance,get_balance_update
491,now show me all of my balances?,get_balance_update
492,just tell me whats in all accounts,get_balance_update
493,what is my balance?,get_balance_update
494,Now I'd like to see the other account.,get_balance_update
495,What's the balance of my secondary savings account?,get_balance_update
496,And my checking balance?,get_balance_update
497,how about the money market,get_balance_update
498,Tell me about checkings,get_balance_update
499,Please tell me about checkings,get_balance_update
500,Is there any activity on the other account?,get_balance_update
501,Show me the other balances,get_balance_update
502,what about my checking balance please,get_balance_update
503,Can you tell me the balance in all accounts,get_balance_update
504,want the info on mortgage,get_balance_update
505,What about my personal savings and account?,get_balance_update
506,Show me the balances of other accounts,get_balance_update
507,Now I want to know how much is in my other account,get_balance_update
508,could you please show me the balance of another account,get_balance_update
509,what about my checking account balance if u could,get_balance_update
510,Gimme all other balances,get_balance_update
511,Show me both balances?,get_balance_update
512,"Okay, now tell me my other account's balance.",get_balance_update
513,now just show me savings,get_balance_update
514,show me my checking account balance please,get_balance_update
515,now i need my retirement account,get_balance_update
516,what about retirement,get_balance_update
517,what about my CD account balance thanks,get_balance_update
518,can I have the info on checking account,get_balance_update
519,please tell me about my kids college,get_balance_update
520,what other balances do I have?,get_balance_update
521,what about my savings account?,get_balance_update
522,actually can i see whats in my current balance,get_balance_update
523,whats in my retirement,get_balance_update
524,what about my personal savings?,get_balance_update
525,okay is there anything in my savings account,get_balance_update
526,show me all of my account details in last month,get_balance_update
527,How much is in my other account?,get_balance_update
528,What about the balance in my rewards account,get_balance_update
529,Can you tell me what my Chase savings account balance is?,get_balance_update
530,what about my checking account balance thank u`,get_balance_update
531,what about college fund?,get_balance_update
532,and my Mastercard,get_balance_update
533,what do i have in my retirement account please,get_balance_update
534,now mortgage info,get_balance_update
535,What are my other account balances?,get_balance_update
536,itd be great if you could jsut show all,get_balance_update
537,can I have mortgage info,get_balance_update
538,What's my personal savings balance?,get_balance_update
539,what's in my senior account,get_balance_update
540,tell me about my chase account,get_balance_update
541,what about my CD account balance when u can,get_balance_update
542,What's in my emergency account,get_balance_update
543,You are on the phone with your bank and they just told you your savings balance,get_balance_update
544,Just tell me what is going on in all accounts,get_balance_update
545,how about credit card?,get_balance_update
546,show me my checking account balance right now,get_balance_update
547,i need my checking balance please,get_balance_update
548,what about my BOA account?,get_balance_update
549,"Thanks for that information, do you also know the balance of my checking?",get_balance_update
550,Balance of all accounts,get_balance_update
551,"While I have you here, can you tell me the balance of my other account?",get_balance_update
552,What about my accounts,get_balance_update
553,what's my available credit,get_balance_update
554,what about my checking account,get_balance_update
555,How bout my college savings,get_balance_update
556,What about the other balances i have?,get_balance_update
557,What is the balance of my bank account?,get_balance_update
558,can I have that mortgage info,get_balance_update
559,actualy just tell me another account balance,get_balance_update
560,creater my account,get_balance_update
561,Tell about my BOA account?,get_balance_update
562,How about my savings,get_balance_update
563,"Oh, I mean, what is my statement balance",get_balance_update
564,Show me the payroll account balance.,get_balance_update
565,All accounts balance,get_balance_update
566,show me my checking account balance,get_balance_update
567,How about my checking account,get_balance_update
568,"thanks, show me my checking balance next",get_balance_update
569,Show me the balance for the current account.,get_balance_update
570,"oh, just my savings",get_balance_update
571,Can you show me the other account?,get_balance_update
572,I would like to see the balance for the other account.,get_balance_update
573,How much is in my retirement account?,get_balance_update
574,will you check my student account,get_balance_update
575,"OK, now what about my other account?",get_balance_update
576,inform me about checkings,get_balance_update
577,What about my retirement?,get_balance_update
578,What are my balances for the other account.,get_balance_update
579,I would like to know the balance of my money market account.,get_balance_update
580,could you also tell me about checkings?,get_balance_update
581,what about savings,get_balance_update
582,BOA account?,get_balance_update
583,how is the looking the balance of my savings as well done?,get_balance_update
584,looking the balance of my savings as well is about what also,get_balance_update
585,what about my wave to save account,get_balance_update
586,what is about my retirement,get_balance_update
587,what is my balance as of today?,get_balance_update
588,what about my TD account,get_balance_update
589,What about my personal savings account?,get_balance_update
590,tell me about my chase savings too account,get_balance_update
591,talk about mortgage,get_balance_update
592,Can you also show me my mortgage balance,get_balance_update
593,show me all my balances,get_balance_update
594,Do I have any other balances?,get_balance_update
595,Do I still have money in my other savings account?,get_balance_update
596,How much is saved in the college fund account?,get_balance_update
597,What is my balance on my CD?,get_balance_update
598,show me what i have in my kids college find now,get_balance_update
599,Can you tell me my balance please?,get_balance_update
600,what about my main savings account,get_balance_update
601,savings next please,get_balance_update
602,how bout my oher account,get_balance_update
603,What is my checking account balance?,get_balance_update
604,what about will retirement,get_balance_update
605,and for the scotiabank account?,get_balance_update
606,Can I switch to the other account?,get_balance_update
607,"instead, show me my checking account balance",get_balance_update
608,Can you tell me the amount of money in my savings account?,get_balance_update
609,How about my US Bank account?,get_balance_update
610,tell me about my chase savings for last month,get_balance_update
611,How about my mortgage?,get_balance_update
612,What is the status of my other balances?,get_balance_update
613,what about other checking account,get_balance_update
614,whats left in retirement?,get_balance_update
615,What is the balance for my other accounts?,get_balance_update
616,What other balances do I have?,get_balance_update
617,how about total balance,get_balance_update
618,Can you let me see my other saving's account?,get_balance_update
619,my personal savings?,get_balance_update
620,What is the balance of my other account?,get_balance_update
621,what about will on retirement,get_balance_update
622,what about my retirement,get_balance_update
623,I need to know about checkings,get_balance_update
624,what about my checking thanks,get_balance_update
625,I need my CD balance please.,get_balance_update
626,please tell me the detail about my kids college,get_balance_update
627,You now want to know the balance of another account?,get_balance_update
628,tell me about my chase savings,get_balance_update
629,um could you also tell me about the details and mutual fund?,get_balance_update
630,Please provide me my current personal savings account balance,get_balance_update
631,What is the balance of my checking account?,get_balance_update
632,How about my interest,get_balance_update
633,Show me the balance for the other account?,get_balance_update
634,How about my Roth IRA,get_balance_update
635,Show other balances,get_balance_update
636,What about my checking account?,get_balance_update
637,what about the balance in other account?,get_balance_update
638,How about my saving account balance?,get_balance_update
639,How much do I owe on my mortgage account?,get_balance_update
640,How about my checking,get_balance_update
641,just give me all account details,get_balance_update
642,tell me about my chase bank account,get_balance_update
643,open in a account,get_balance_update
644,What is the balance of my children's college fund?,get_balance_update
645,will need mortgage,get_balance_update
646,info for the mortgage,get_balance_update
647,so is there anything in my chase account?,get_balance_update
648,Can you tell me what my other balance is?,get_balance_update
649,How much do I have in my emergency fund account?,get_balance_update
650,Show my my investment account balance,get_balance_update
651,I want to see my savings account balance.,get_balance_update
652,i also need to know whats in my joint account,get_balance_update
653,What is the balance of my personal loan account?,get_balance_update
654,what you about my personal savings?,get_balance_update
655,just tell me whats in all account,get_balance_update
656,whats in my kids college fund,get_balance_update
657,how to check account balance ?,get_balance_update
658,is that my current or available balance,get_balance_update
659,tell me about savings,get_balance_update
660,Go ahead and show me the other one too.,get_balance_update
661,could you also tell me about all the balance,get_balance_update
662,what about my checking account balance if u could thx,get_balance_update
663,How about my 401k,get_balance_update
664,i want to know about checking,get_balance_update
665,what's left in the business checking,get_balance_update
666,"I need balances for all of my accounts, could you give them to me?",get_balance_update
667,How much money to i have left.,get_balance_update
668,Tell now how much I owe on the mortgage,get_balance_update
669,what about my CD account balance now,get_balance_update
670,Now show me all my balances,get_balance_update
671,What about my beneficiary account,get_balance_update
672,now show me all of my account balances,get_balance_update
673,now my savings,get_balance_update
674,show me my checking account balance for last month,get_balance_update
675,Can you look at my other checking account?,get_balance_update
676,What about my other account?,get_balance_update
677,What else is on the other account?,get_balance_update
678,show me checking balance now please,get_balance_update
679,Can I have the balance of my savings account?,get_balance_update
680,could you also tell me about the mutual fund?,get_balance_update
681,what about my personal savings my account ?,get_balance_update
682,Can I have my checking account balance please?,get_balance_update
683,What is my balance on my credit card account?,get_balance_update
684,what about my college savings,get_balance_update
685,Tell me what's in my other balances,get_balance_update
686,tell me about my chase savings too,get_balance_update
